Time,v_l,v_r,u0,u1,u2,e0,e1,e2
1749039064.1874620914,0.399,0.401,0.400,0.400,0.000,0.112,0.112,0.000
1749039064.2878360748,0.000,0.000,0.000,0.000,0.400,0.114,0.114,0.112
1749039064.3881659508,0.136,0.137,0.136,0.136,0.000,0.112,0.112,0.114
1749039064.4884529114,0.092,0.093,0.093,0.093,0.136,0.112,0.112,0.112
1749039064.5887660980,0.106,0.108,0.107,0.107,0.093,0.113,0.113,0.112
1749039064.6891179085,0.101,0.102,0.102,0.102,0.107,0.113,0.113,0.113
1749039064.7894899845,0.082,0.083,0.083,0.083,0.102,0.110,0.110,0.113
1749039064.8898890018,0.046,0.047,0.046,0.046,0.083,0.101,0.101,0.110
1749039064.9902100563,0.048,0.048,0.048,0.048,0.046,0.091,0.091,0.101
1749039065.0905590057,0.048,0.048,0.048,0.048,0.048,0.083,0.083,0.091
1749039065.1908791065,0.022,0.022,0.022,0.022,0.048,0.073,0.073,0.083
1749039065.2912549973,0.028,0.027,0.027,0.027,0.022,0.063,0.063,0.073
1749039065.3916459084,0.019,0.019,0.019,0.019,0.027,0.055,0.055,0.063
1749039065.4919450283,0.021,0.021,0.021,0.021,0.019,0.048,0.048,0.055
1749039065.5922939777,0.029,0.029,0.029,0.029,0.021,0.043,0.043,0.048
1749039065.6925790310,0.015,0.015,0.015,0.015,0.029,0.038,0.038,0.043
1749039065.7928979397,0.028,0.028,0.028,0.028,0.015,0.035,0.035,0.038
1749039065.8932459354,0.020,0.019,0.019,0.019,0.028,0.033,0.033,0.035
1749039065.9936161041,0.022,0.022,0.022,0.022,0.019,0.030,0.030,0.033
1749039066.0939691067,0.000,0.000,0.022,0.022,0.019,0.030,0.030,0.033
1749039066.0940079689,0.023,0.023,0.023,0.023,0.022,0.029,0.029,0.030
1749039066.1943581104,0.000,0.000,0.023,0.023,0.022,0.029,0.029,0.030
1749039066.1944019794,0.026,0.026,0.026,0.026,0.023,0.029,0.029,0.029
1749039066.2947599888,0.000,0.000,0.026,0.026,0.023,0.029,0.029,0.029
1749039066.2947950363,0.001,0.001,0.001,0.001,0.026,0.025,0.025,0.029
1749039066.3951940536,0.000,0.000,0.001,0.001,0.026,0.025,0.025,0.029
1749039066.3952341080,0.024,0.024,0.024,0.024,0.001,0.023,0.023,0.025
1749039066.4955620766,0.000,0.000,0.024,0.024,0.001,0.023,0.023,0.025
1749039066.4955959320,0.022,0.022,0.022,0.022,0.024,0.023,0.023,0.023
1749039066.5959870815,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1749039066.6303460598,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1749039066.7338769436,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1749039066.8378999233,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1749039066.9312579632,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1749039067.0352289677,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1749039067.1287128925,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1749039067.2322669029,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1749039067.3255789280,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1749039067.4290809631,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1749039067.5326130390,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1749039067.6260030270,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1749039067.7296779156,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1749039067.8230459690,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1749039067.9266660213,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1749039068.0303490162,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1749039068.1237640381,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1749039068.2276051044,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1749039068.3208150864,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1749039068.4243440628,0.022,0.022,0.022,0.022,0.022,0.023,0.023,0.023
1749039068.5282518864,0.022,0.021,0.021,0.021,0.022,0.023,0.023,0.023
1749039068.6286671162,0.022,0.021,0.021,0.021,0.021,0.023,0.023,0.023
1749039068.7290170193,0.021,0.021,0.021,0.021,0.021,0.023,0.023,0.023
1749039068.8293550014,0.080,0.079,0.080,0.080,0.021,0.032,0.032,0.023
1749039068.9296720028,0.159,0.158,0.158,0.158,0.080,0.054,0.054,0.032
1749039069.0300068855,0.149,0.148,0.149,0.149,0.158,0.077,0.077,0.054
1749039069.1303908825,0.205,0.204,0.205,0.205,0.149,0.104,0.104,0.077
1749039069.2307128906,0.225,0.224,0.225,0.225,0.205,0.132,0.132,0.104
1749039069.3310749531,0.241,0.239,0.240,0.240,0.225,0.159,0.159,0.132
1749039069.4314610958,0.249,0.247,0.248,0.248,0.240,0.184,0.184,0.159
1749039069.5318050385,0.225,0.223,0.224,0.224,0.248,0.200,0.200,0.184
1749039069.6321730614,0.237,0.235,0.236,0.236,0.224,0.214,0.214,0.200
1749039069.7325088978,0.208,0.206,0.207,0.207,0.236,0.221,0.221,0.214
1749039069.8329000473,0.269,0.266,0.268,0.268,0.207,0.233,0.233,0.221
1749039069.9332869053,0.211,0.209,0.210,0.210,0.268,0.238,0.238,0.233
1749039070.0336740017,0.256,0.253,0.255,0.255,0.210,0.244,0.244,0.238
1749039070.1340830326,0.213,0.211,0.212,0.212,0.255,0.246,0.246,0.244
1749039070.2344810963,0.279,0.277,0.278,0.278,0.212,0.254,0.254,0.246
1749039070.3348510265,0.249,0.248,0.248,0.248,0.278,0.261,0.261,0.254
1749039070.4352149963,0.268,0.268,0.268,0.268,0.248,0.267,0.267,0.261
1749039070.5355360508,0.243,0.244,0.243,0.243,0.268,0.270,0.270,0.267
1749039070.6359310150,0.312,0.314,0.313,0.313,0.243,0.280,0.280,0.270
1749039070.7362070084,0.272,0.274,0.273,0.273,0.313,0.288,0.288,0.280
1749039070.8365769386,0.283,0.286,0.284,0.284,0.273,0.293,0.293,0.288
1749039070.9369509220,0.288,0.292,0.290,0.290,0.284,0.298,0.298,0.293
1749039071.0373260975,0.261,0.265,0.263,0.263,0.290,0.299,0.299,0.298
1749039071.1376390457,0.290,0.295,0.292,0.292,0.263,0.303,0.303,0.299
1749039071.2379770279,0.300,0.306,0.303,0.303,0.292,0.308,0.308,0.303
1749039071.3383350372,0.262,0.267,0.265,0.265,0.303,0.308,0.308,0.308
1749039071.4387168884,0.323,0.329,0.326,0.326,0.265,0.315,0.315,0.308
1749039071.5390610695,0.272,0.277,0.275,0.275,0.326,0.316,0.316,0.315
1749039071.6394910812,0.276,0.282,0.279,0.279,0.275,0.315,0.315,0.316
1749039071.7398378849,0.319,0.325,0.322,0.322,0.279,0.320,0.320,0.315
1749039071.8401670456,0.302,0.308,0.305,0.305,0.322,0.325,0.325,0.320
1749039071.9405200481,0.287,0.294,0.291,0.291,0.305,0.325,0.325,0.325
1749039072.0408959389,0.277,0.283,0.280,0.280,0.291,0.323,0.323,0.325
1749039072.1412670612,0.314,0.321,0.318,0.318,0.280,0.326,0.326,0.323
1749039072.2415900230,0.288,0.295,0.292,0.292,0.318,0.327,0.327,0.326
1749039072.3419620991,0.315,0.323,0.319,0.319,0.292,0.331,0.331,0.327
1749039072.4423339367,0.284,0.291,0.288,0.288,0.319,0.330,0.330,0.331
1749039072.5427069664,0.309,0.316,0.313,0.313,0.288,0.332,0.332,0.330
1749039072.6430308819,0.279,0.285,0.282,0.282,0.313,0.330,0.330,0.332
1749039072.7432510853,0.312,0.318,0.315,0.315,0.282,0.332,0.332,0.330
1749039072.8435719013,0.286,0.292,0.289,0.289,0.315,0.331,0.331,0.332
1749039072.9440329075,0.343,0.349,0.346,0.346,0.289,0.337,0.337,0.331
1749039073.0444109440,0.301,0.306,0.303,0.303,0.346,0.340,0.340,0.337
1749039073.1447789669,0.298,0.302,0.300,0.300,0.303,0.339,0.339,0.340
1749039073.2451748848,0.341,0.349,0.345,0.345,0.300,0.344,0.344,0.339
1749039073.3455750942,0.170,0.175,0.172,0.172,0.345,0.326,0.326,0.344
1749039073.4459700584,0.392,0.408,0.400,0.400,0.172,0.335,0.335,0.326
1749039073.5463919640,0.282,0.297,0.289,0.289,0.400,0.340,0.340,0.335
1749039073.6473100185,0.219,0.233,0.226,0.226,0.289,0.328,0.328,0.340
1749039073.7476329803,0.256,0.275,0.266,0.266,0.226,0.318,0.318,0.328
1749039073.8479449749,0.246,0.268,0.257,0.257,0.266,0.312,0.312,0.318
1749039073.9483149052,0.290,0.321,0.305,0.305,0.257,0.313,0.313,0.312
1749039074.0486829281,0.247,0.278,0.262,0.262,0.305,0.311,0.311,0.313
1749039074.1490130424,0.245,0.292,0.269,0.269,0.262,0.307,0.307,0.311
1749039074.2493679523,0.253,0.310,0.281,0.281,0.269,0.307,0.307,0.307
1749039074.3497529030,0.214,0.267,0.241,0.241,0.281,0.302,0.302,0.307
1749039074.4500870705,0.247,0.315,0.281,0.281,0.241,0.300,0.300,0.302
1749039074.5504789352,0.212,0.277,0.244,0.244,0.281,0.297,0.297,0.300
1749039074.6508550644,0.206,0.275,0.240,0.240,0.244,0.291,0.291,0.297
1749039074.7512779236,0.200,0.271,0.236,0.236,0.240,0.285,0.285,0.291
1749039074.8516640663,0.234,0.329,0.281,0.281,0.236,0.286,0.286,0.285
1749039074.9520120621,0.206,0.296,0.251,0.251,0.281,0.286,0.286,0.286
1749039075.0523860455,0.192,0.279,0.236,0.236,0.251,0.282,0.282,0.286
1749039075.1527640820,0.196,0.289,0.243,0.243,0.236,0.279,0.279,0.282
1749039075.2531380653,0.198,0.296,0.247,0.247,0.243,0.277,0.277,0.279
1749039075.3535430431,0.210,0.320,0.265,0.265,0.247,0.279,0.279,0.277
1749039075.4539260864,0.176,0.271,0.224,0.224,0.265,0.275,0.275,0.279
1749039075.5543069839,0.198,0.306,0.252,0.252,0.224,0.274,0.274,0.275
1749039075.6547019482,0.198,0.309,0.253,0.253,0.252,0.275,0.275,0.274
1749039075.7549920082,0.200,0.315,0.257,0.257,0.253,0.276,0.276,0.275
1749039075.8553969860,0.213,0.337,0.275,0.275,0.257,0.280,0.280,0.276
1749039075.9557869434,0.215,0.342,0.279,0.279,0.275,0.286,0.286,0.280
