Time,v_l,v_r,u0,u1,u2,e0,e1,e2
1749038160.2044100761,0.401,0.399,0.400,0.400,0.000,0.310,0.310,0.000
1749038160.3046560287,0.000,0.000,0.000,0.000,0.400,0.313,0.313,0.310
1749038160.4048700333,0.299,0.296,0.298,0.298,0.000,0.317,0.317,0.313
1749038160.5051240921,0.237,0.234,0.235,0.235,0.298,0.320,0.320,0.317
1749038160.6053268909,0.271,0.267,0.269,0.269,0.235,0.319,0.319,0.320
1749038160.7055449486,0.282,0.277,0.279,0.279,0.269,0.319,0.319,0.319
1749038160.8057799339,0.184,0.181,0.183,0.183,0.279,0.304,0.304,0.319
1749038160.9059979916,0.221,0.217,0.219,0.219,0.183,0.290,0.290,0.304
1749038161.0062229633,0.168,0.166,0.167,0.167,0.219,0.273,0.273,0.290
1749038161.1064479351,0.148,0.145,0.147,0.147,0.167,0.252,0.252,0.273
1749038161.2066481113,0.142,0.140,0.141,0.141,0.147,0.232,0.232,0.252
1749038161.3068759441,0.087,0.085,0.086,0.086,0.141,0.207,0.207,0.232
1749038161.4070830345,0.096,0.095,0.096,0.096,0.086,0.185,0.185,0.207
1749038161.5073139668,0.106,0.105,0.105,0.105,0.096,0.169,0.169,0.185
1749038161.6075379848,0.083,0.082,0.082,0.082,0.105,0.153,0.153,0.169
1749038161.7077629566,0.061,0.061,0.061,0.061,0.082,0.136,0.136,0.153
1749038161.8079528809,0.072,0.071,0.071,0.071,0.061,0.123,0.123,0.136
1749038161.9081370831,0.069,0.069,0.069,0.069,0.071,0.112,0.112,0.123
1749038162.0083940029,0.096,0.095,0.096,0.096,0.069,0.108,0.108,0.112
1749038162.1085789204,0.066,0.065,0.065,0.065,0.096,0.102,0.102,0.108
1749038162.2089018822,0.066,0.066,0.066,0.066,0.065,0.095,0.095,0.102
1749038162.3091580868,0.048,0.048,0.048,0.048,0.066,0.088,0.088,0.095
1749038162.4093959332,0.059,0.060,0.060,0.060,0.048,0.082,0.082,0.088
1749038162.5097880363,0.063,0.063,0.063,0.063,0.060,0.079,0.079,0.082
1749038162.6100420952,0.057,0.058,0.058,0.058,0.063,0.075,0.075,0.079
1749038162.7103300095,0.026,0.026,0.026,0.026,0.058,0.068,0.068,0.075
1749038162.8105480671,0.036,0.036,0.036,0.036,0.026,0.062,0.062,0.068
1749038162.9107930660,0.029,0.029,0.029,0.029,0.036,0.056,0.056,0.062
1749038163.0110690594,0.045,0.045,0.045,0.045,0.029,0.053,0.053,0.056
1749038163.1113049984,0.048,0.048,0.048,0.048,0.045,0.052,0.052,0.053
1749038163.2115600109,0.024,0.024,0.024,0.024,0.048,0.048,0.048,0.052
1749038163.3117849827,0.041,0.041,0.041,0.041,0.024,0.046,0.046,0.048
1749038163.4120008945,0.026,0.026,0.026,0.026,0.041,0.044,0.044,0.046
1749038163.5122470856,0.038,0.038,0.038,0.038,0.026,0.042,0.042,0.044
1749038163.6125040054,0.012,0.012,0.012,0.012,0.038,0.038,0.038,0.042
1749038163.7127089500,0.040,0.040,0.040,0.040,0.012,0.037,0.037,0.038
1749038163.8129448891,0.023,0.023,0.023,0.023,0.040,0.036,0.036,0.037
1749038163.9131760597,0.040,0.040,0.040,0.040,0.023,0.036,0.036,0.036
1749038164.0134339333,0.023,0.023,0.023,0.023,0.040,0.035,0.035,0.036
1749038164.1136789322,0.000,0.000,0.023,0.023,0.040,0.035,0.035,0.036
1749038164.1137039661,0.009,0.009,0.009,0.009,0.023,0.031,0.031,0.035
1749038164.2139399052,0.000,0.000,0.009,0.009,0.023,0.031,0.031,0.035
1749038164.2139639854,0.015,0.015,0.015,0.015,0.009,0.028,0.028,0.031
1749038164.3141450882,0.000,0.000,0.015,0.015,0.009,0.028,0.028,0.031
1749038164.3141689301,0.022,0.022,0.022,0.022,0.015,0.026,0.026,0.028
1749038164.4144220352,0.000,0.000,0.022,0.022,0.015,0.026,0.026,0.028
1749038164.4144508839,0.009,0.009,0.009,0.009,0.022,0.024,0.024,0.026
1749038164.5146989822,0.000,0.000,0.009,0.009,0.022,0.024,0.024,0.026
1749038164.5147240162,0.029,0.029,0.029,0.029,0.009,0.024,0.024,0.024
1749038164.6150219440,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1749038164.6311180592,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1749038164.7334699631,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
