time_unix,x,y,heading,velocity_cmd
1749038184.998626,2.570,3.830,-0.829,0.000
1749038185.097809,2.590,3.807,-0.884,0.000
1749038185.296277,2.626,3.758,-1.000,0.000
1749038185.396320,2.641,3.731,-1.065,0.000
1749038185.594606,2.667,3.676,-1.210,0.000
1749038185.694196,2.677,3.647,-1.281,0.000
1749038185.892958,2.690,3.588,-1.414,0.000
1749038185.992940,2.694,3.558,-1.476,0.000
1749038186.192451,2.696,3.497,-1.579,0.000
1749038186.292300,2.696,3.467,-1.618,0.000
1749038186.491019,2.692,3.404,-1.630,0.000
1749038186.690551,2.688,3.325,-1.611,0.000
1749038186.789868,2.686,3.283,-1.598,0.000
1749038186.889955,2.686,3.241,-1.583,0.000
1749038187.089226,2.685,3.158,-1.569,0.000
1749038187.187999,2.685,3.118,-1.568,0.000
1749038187.388205,2.685,3.037,-1.583,0.000
1749038187.586333,2.683,2.956,-1.613,0.000
1749038187.685525,2.681,2.915,-1.625,0.000
1749038187.885041,2.676,2.834,-1.646,0.000
1749038187.984306,2.673,2.794,-1.649,0.000
1749038188.183807,2.667,2.713,-1.632,0.000
1749038188.282851,2.665,2.673,-1.621,0.000
1749038188.483011,2.661,2.589,-1.595,0.000
1749038188.583147,2.661,2.548,-1.587,0.000
1749038188.682096,2.660,2.507,-1.585,0.000
1749038189.080263,2.658,2.353,-1.589,0.000
1749038189.179782,2.657,2.321,-1.590,0.000
1749038189.379304,2.656,2.260,-1.589,0.000
1749038189.479377,2.655,2.230,-1.588,0.000
1749038189.678334,2.654,2.169,-1.589,0.000
1749038189.778407,2.654,2.138,-1.589,0.000
1749038189.978017,2.653,2.076,-1.589,0.000
1749038190.077543,2.652,2.046,-1.589,0.000
1749038190.276260,2.651,1.985,-1.588,0.000
1749038190.376424,2.650,1.954,-1.588,0.000
1749038190.574024,2.650,1.891,-1.555,0.000
1749038190.773271,2.656,1.826,-1.359,0.000
1749038190.872175,2.665,1.796,-1.240,0.000
1749038191.070933,2.688,1.744,-1.069,0.000
1749038191.171868,2.703,1.718,-1.024,0.000
1749038191.271372,2.719,1.693,-1.001,0.000
1749038191.469075,2.754,1.642,-0.939,0.000
1749038191.570489,2.773,1.617,-0.886,0.000
1749038191.769066,2.816,1.572,-0.733,0.000
1749038191.868633,2.839,1.553,-0.649,0.000
1749038192.070058,2.891,1.519,-0.505,0.000
1749038192.269419,2.945,1.493,-0.410,0.000
1749038192.369011,2.974,1.481,-0.363,0.000
1749038192.567830,3.032,1.462,-0.252,0.000
1749038192.667247,3.061,1.456,-0.189,0.000
1749038192.767254,3.091,1.451,-0.121,0.000
1749038192.966278,3.153,1.448,0.009,0.000
1749038193.165541,3.213,1.449,-0.006,0.000
1749038193.264610,3.241,1.448,-0.111,0.000
1749038193.464354,3.303,1.432,-0.384,0.000
1749038193.564754,3.334,1.418,-0.482,0.000
1749038193.763920,3.387,1.387,-0.546,0.000
