Time,v_l,v_r,u0,u1,u2,e0,e1,e2
1749039386.4564549923,0.398,0.402,0.400,0.400,0.000,0.122,0.122,0.000
1749039386.5566470623,0.000,0.000,0.000,0.000,0.400,0.122,0.122,0.122
1749039386.6568439007,0.221,0.227,0.224,0.224,0.000,0.132,0.132,0.122
1749039386.7569870949,0.150,0.155,0.152,0.152,0.224,0.143,0.143,0.132
1749039386.8571739197,0.189,0.195,0.192,0.192,0.152,0.154,0.154,0.143
1749039386.9573628902,0.188,0.195,0.191,0.191,0.192,0.166,0.166,0.154
1749039387.0575571060,0.081,0.084,0.082,0.082,0.191,0.160,0.160,0.166
1749039387.1577448845,0.112,0.116,0.114,0.114,0.082,0.152,0.152,0.160
1749039387.2579319477,0.047,0.048,0.047,0.047,0.114,0.137,0.137,0.152
1749039387.3580849171,0.074,0.077,0.075,0.075,0.047,0.125,0.125,0.137
1749039387.4582269192,0.027,0.028,0.027,0.027,0.075,0.109,0.109,0.125
1749039387.5584120750,0.022,0.023,0.023,0.023,0.027,0.092,0.092,0.109
1749039387.6586370468,0.000,0.000,0.000,0.000,0.023,0.074,0.074,0.092
1749039387.7589399815,0.047,0.049,0.048,0.048,0.000,0.064,0.064,0.074
1749039387.8590939045,0.036,0.038,0.037,0.037,0.048,0.059,0.059,0.064
1749039387.9592740536,0.033,0.034,0.034,0.034,0.037,0.054,0.054,0.059
1749039388.0594460964,0.045,0.046,0.046,0.046,0.034,0.051,0.051,0.054
1749039388.1596939564,0.052,0.054,0.053,0.053,0.046,0.052,0.052,0.051
1749039388.2598841190,0.076,0.079,0.078,0.078,0.053,0.056,0.056,0.052
1749039388.3600640297,0.078,0.081,0.079,0.079,0.078,0.062,0.062,0.056
1749039388.4602200985,0.039,0.040,0.039,0.039,0.079,0.061,0.061,0.062
1749039388.5604019165,0.052,0.054,0.053,0.053,0.039,0.060,0.060,0.061
1749039388.6605861187,0.054,0.056,0.055,0.055,0.053,0.060,0.060,0.060
1749039388.7608160973,0.055,0.057,0.056,0.056,0.055,0.060,0.060,0.060
1749039388.8610579967,0.044,0.045,0.044,0.044,0.056,0.059,0.059,0.060
1749039388.9613509178,0.030,0.031,0.031,0.031,0.044,0.055,0.055,0.059
1749039389.0615301132,0.030,0.031,0.030,0.030,0.031,0.051,0.051,0.055
1749039389.1617410183,0.050,0.052,0.051,0.051,0.030,0.050,0.050,0.051
1749039389.2619369030,0.043,0.044,0.044,0.044,0.051,0.050,0.050,0.050
1749039389.3621890545,0.044,0.045,0.045,0.045,0.044,0.050,0.050,0.050
1749039389.4624149799,0.032,0.033,0.033,0.033,0.045,0.048,0.048,0.050
1749039389.5626220703,0.038,0.039,0.038,0.038,0.033,0.046,0.046,0.048
1749039389.6628370285,0.024,0.024,0.024,0.024,0.038,0.043,0.043,0.046
1749039389.7630300522,0.024,0.025,0.024,0.024,0.024,0.040,0.040,0.043
1749039389.8632171154,0.019,0.020,0.019,0.019,0.024,0.036,0.036,0.040
1749039389.9634180069,0.010,0.011,0.011,0.011,0.019,0.032,0.032,0.036
1749039390.0635619164,0.039,0.040,0.039,0.039,0.011,0.032,0.032,0.032
1749039390.1638200283,0.059,0.060,0.059,0.059,0.039,0.037,0.037,0.032
1749039390.2640969753,0.066,0.068,0.067,0.067,0.059,0.043,0.043,0.037
1749039390.3642919064,0.062,0.064,0.063,0.063,0.067,0.049,0.049,0.043
1749039390.4645049572,0.077,0.079,0.078,0.078,0.063,0.055,0.055,0.049
1749039390.5647120476,0.062,0.064,0.063,0.063,0.078,0.060,0.060,0.055
1749039390.6649160385,0.066,0.068,0.067,0.067,0.063,0.063,0.063,0.060
1749039390.7651228905,0.043,0.045,0.044,0.044,0.067,0.062,0.062,0.063
1749039390.8652870655,0.025,0.026,0.025,0.025,0.044,0.057,0.057,0.062
1749039390.9654960632,0.021,0.022,0.021,0.021,0.025,0.051,0.051,0.057
1749039391.0657100677,0.009,0.009,0.009,0.009,0.021,0.044,0.044,0.051
1749039391.1659579277,0.000,0.000,0.009,0.009,0.021,0.044,0.044,0.051
1749039391.1659750938,0.007,0.007,0.007,0.007,0.009,0.036,0.036,0.044
1749039391.2661690712,0.000,0.000,0.007,0.007,0.009,0.036,0.036,0.044
1749039391.2661859989,0.019,0.020,0.019,0.019,0.007,0.032,0.032,0.036
1749039391.3663470745,0.000,0.000,0.019,0.019,0.007,0.032,0.032,0.036
1749039391.3663640022,0.002,0.002,0.002,0.002,0.019,0.027,0.027,0.032
1749039391.4665210247,0.003,0.003,0.003,0.003,0.002,0.022,0.022,0.027
1749039391.5667490959,0.031,0.032,0.031,0.031,0.003,0.022,0.022,0.022
1749039391.6669409275,0.017,0.018,0.017,0.017,0.031,0.022,0.022,0.022
1749039391.7671139240,0.021,0.022,0.022,0.022,0.017,0.022,0.022,0.022
1749039391.8672900200,0.052,0.054,0.053,0.053,0.022,0.026,0.026,0.022
1749039391.9674909115,0.012,0.012,0.012,0.012,0.053,0.027,0.027,0.026
1749039392.0677170753,0.048,0.049,0.049,0.049,0.012,0.030,0.030,0.027
1749039392.1679110527,0.038,0.039,0.039,0.039,0.049,0.033,0.033,0.030
1749039392.2681028843,0.011,0.012,0.011,0.011,0.039,0.031,0.031,0.033
1749039392.3683509827,0.019,0.019,0.019,0.019,0.011,0.029,0.029,0.031
1749039392.4685070515,0.000,0.000,0.019,0.019,0.011,0.029,0.029,0.031
1749039392.4685239792,0.015,0.015,0.015,0.015,0.019,0.027,0.027,0.029
1749039392.5686700344,0.000,0.000,0.015,0.015,0.019,0.027,0.027,0.029
1749039392.5686860085,0.026,0.027,0.026,0.026,0.015,0.026,0.026,0.027
1749039392.6689050198,0.000,0.000,0.026,0.026,0.015,0.026,0.026,0.027
1749039392.6689269543,0.008,0.008,0.008,0.008,0.026,0.024,0.024,0.026
1749039392.7691938877,0.021,0.021,0.021,0.021,0.008,0.023,0.023,0.024
1749039392.8694379330,0.022,0.022,0.022,0.022,0.021,0.023,0.023,0.023
1749039392.9695870876,0.021,0.021,0.021,0.021,0.022,0.023,0.023,0.023
1749039393.0697250366,0.021,0.021,0.021,0.021,0.021,0.023,0.023,0.023
1749039393.1699299812,0.046,0.048,0.047,0.047,0.021,0.027,0.027,0.023
1749039393.2701110840,0.010,0.010,0.010,0.010,0.047,0.026,0.026,0.027
1749039393.3703169823,0.038,0.040,0.039,0.039,0.010,0.028,0.028,0.026
1749039393.4704589844,0.022,0.023,0.023,0.023,0.039,0.028,0.028,0.028
1749039393.5706260204,0.028,0.029,0.029,0.029,0.023,0.029,0.029,0.028
1749039393.6708159447,0.000,0.000,0.029,0.029,0.023,0.029,0.029,0.028
1749039393.6708300114,0.028,0.029,0.028,0.028,0.029,0.029,0.029,0.029
1749039393.7710080147,0.000,0.000,0.028,0.028,0.029,0.029,0.029,0.029
1749039393.7710220814,0.021,0.022,0.022,0.022,0.028,0.029,0.029,0.029
1749039393.8711841106,0.000,0.000,0.022,0.022,0.028,0.029,0.029,0.029
1749039393.8711979389,0.015,0.015,0.015,0.015,0.022,0.027,0.027,0.029
1749039393.9713449478,0.000,0.000,0.015,0.015,0.022,0.027,0.027,0.029
1749039393.9713668823,0.019,0.019,0.019,0.019,0.015,0.025,0.025,0.027
1749039394.0715498924,0.000,0.000,0.019,0.019,0.015,0.025,0.025,0.027
1749039394.0715649128,0.025,0.026,0.026,0.026,0.019,0.025,0.025,0.025
1749039394.1717920303,0.022,0.023,0.022,0.022,0.026,0.025,0.025,0.025
1749039394.2720139027,0.023,0.024,0.024,0.024,0.022,0.025,0.025,0.025
1749039394.3722059727,0.023,0.023,0.023,0.023,0.024,0.025,0.025,0.025
1749039394.4723629951,0.023,0.024,0.023,0.023,0.023,0.025,0.025,0.025
1749039394.5725359917,0.046,0.047,0.047,0.047,0.023,0.029,0.029,0.025
1749039394.6727440357,0.110,0.114,0.112,0.112,0.047,0.043,0.043,0.029
1749039394.7729430199,0.089,0.092,0.091,0.091,0.112,0.056,0.056,0.043
1749039394.8731400967,0.133,0.138,0.136,0.136,0.091,0.072,0.072,0.056
1749039394.9732909203,0.152,0.157,0.154,0.154,0.136,0.091,0.091,0.072
1749039395.0734701157,0.163,0.169,0.166,0.166,0.154,0.109,0.109,0.091
1749039395.1737380028,0.187,0.194,0.190,0.190,0.166,0.129,0.129,0.109
1749039395.2739570141,0.160,0.165,0.163,0.163,0.190,0.143,0.143,0.129
1749039395.3741140366,0.152,0.157,0.155,0.155,0.163,0.151,0.151,0.143
1749039395.4742910862,0.132,0.136,0.134,0.134,0.155,0.153,0.153,0.151
1749039395.5744740963,0.151,0.156,0.154,0.154,0.134,0.156,0.156,0.153
1749039395.6746621132,0.127,0.131,0.129,0.129,0.154,0.156,0.156,0.156
1749039395.7750279903,0.138,0.143,0.141,0.141,0.129,0.155,0.155,0.156
1749039395.8751819134,0.129,0.134,0.131,0.131,0.141,0.154,0.154,0.155
1749039395.9753251076,0.159,0.164,0.162,0.162,0.131,0.157,0.157,0.154
1749039396.0755429268,0.192,0.199,0.196,0.196,0.162,0.166,0.166,0.157
1749039396.1757750511,0.204,0.211,0.207,0.207,0.196,0.178,0.178,0.166
1749039396.2759289742,0.220,0.227,0.223,0.223,0.207,0.191,0.191,0.178
1749039396.3761129379,0.221,0.228,0.224,0.224,0.223,0.203,0.203,0.191
1749039396.4763169289,0.240,0.247,0.243,0.243,0.224,0.215,0.215,0.203
1749039396.5764698982,0.243,0.250,0.247,0.247,0.243,0.227,0.227,0.215
1749039396.6766591072,0.247,0.253,0.250,0.250,0.247,0.238,0.238,0.227
1749039396.7768089771,0.230,0.236,0.233,0.233,0.250,0.244,0.244,0.238
1749039396.8769900799,0.226,0.231,0.228,0.228,0.233,0.247,0.247,0.244
1749039396.9771339893,0.225,0.230,0.227,0.227,0.228,0.249,0.249,0.247
1749039397.0772879124,0.224,0.227,0.226,0.226,0.227,0.249,0.249,0.249
1749039397.1774699688,0.242,0.245,0.244,0.244,0.226,0.252,0.252,0.249
1749039397.2776160240,0.246,0.248,0.247,0.247,0.244,0.256,0.256,0.252
1749039397.3777959347,0.236,0.238,0.237,0.237,0.247,0.258,0.258,0.256
1749039397.4779829979,0.272,0.272,0.272,0.272,0.237,0.264,0.264,0.258
1749039397.5781819820,0.251,0.250,0.251,0.251,0.272,0.269,0.269,0.264
1749039397.6784589291,0.279,0.277,0.278,0.278,0.251,0.275,0.275,0.269
1749039397.7786519527,0.291,0.287,0.289,0.289,0.278,0.283,0.283,0.275
1749039397.8789169788,0.267,0.263,0.265,0.265,0.289,0.287,0.287,0.283
1749039397.9792819023,0.292,0.286,0.289,0.289,0.265,0.293,0.293,0.287
1749039398.0795240402,0.276,0.269,0.272,0.272,0.289,0.296,0.296,0.293
1749039398.1797919273,0.289,0.280,0.285,0.285,0.272,0.299,0.299,0.296
1749039398.2800478935,0.294,0.285,0.290,0.290,0.285,0.303,0.303,0.299
