x,y
1.742,0.397
1.749,0.410
1.749,0.422
1.760,0.436
1.763,0.449
1.778,0.465
1.776,0.476
1.789,0.491
1.791,0.504
1.802,0.519
1.809,0.534
1.815,0.548
1.828,0.564
1.832,0.578
1.840,0.593
1.849,0.609
1.855,0.624
1.871,0.643
1.867,0.654
1.862,0.666
1.135,0.414
1.132,0.421
1.130,0.428
0.754,0.308
0.745,0.310
0.741,0.314
0.739,0.318
0.737,0.323
0.735,0.327
0.739,0.335
2.037,0.938
2.051,0.960
2.061,0.980
2.055,0.993
2.048,1.006
2.056,1.026
2.061,1.045
2.080,1.071
2.082,1.088
2.086,1.107
2.094,1.129
2.110,1.154
2.116,1.175
2.128,1.199
2.132,1.219
2.143,1.243
2.160,1.271
2.171,1.296
2.162,1.310
2.154,1.323
2.161,1.346
1.611,1.018
1.605,1.028
0.012,0.010
0.012,0.010
0.012,0.010
0.012,0.010
2.955,2.529
2.917,2.528
2.868,2.518
2.848,2.532
2.832,2.550
2.816,2.568
2.817,2.601
2.870,2.684
2.866,2.714
2.850,2.733
0.601,0.606
0.589,0.602
0.575,0.594
0.568,0.595
0.567,0.602
0.564,0.605
0.560,0.609
0.560,0.617
0.565,0.631
0.011,0.012
0.011,0.012
0.010,0.012
0.010,0.012
0.010,0.012
0.010,0.012
2.473,3.093
0.009,0.013
1.924,3.238
1.018,1.927
1.005,1.933
0.993,1.939
0.007,0.013
0.007,0.013
